age,annual_income,purchase_amount,gender,city,product_category,payment_method,is_returned
53.154995,56206.62,97.51902,Female,Houston,Clothing,PayPal,False
61.807774,115782.92,1073.0388,Male,Phoenix,Sports,Credit Card,False
22.939785,59645.863,0.0,Other,Philadelphia,Beauty,Debit Card,True
27.88355,71383.5,500.6989,Female,Chicago,Electronics,PayPal,False
25.36151,59009.05,553.51697,Female,Los Angeles,Electronics,UPI,True
38.910656,141368.98,496.8481,Female,San Diego,Sports,Credit Card,False
19.18713,106593.4,329.76202,Other,San Jose,Home,Debit Card,True
21.06272,113516.77,116.49736,Female,Houston,Clothing,Credit Card,False
39.614384,91119.62,526.0861,Female,Chicago,Electronics,PayPal,True
60.822617,70568.62,361.58157,Other,Los Angeles,Sports,Debit Card,True
22.072641,84584.58,336.99417,Male,Houston,Clothing,PayPal,False
33.43589,140066.66,112.356766,Female,San Antonio,Sports,Credit Card,True
55.97994,152507.95,1109.3401,Male,San Jose,Beauty,Credit Card,True
29.308279,45051.254,139.46194,Other,Los Angeles,Electronics,Credit Card,False
41.393246,61714.363,551.11554,Male,Dallas,Electronics,Credit Card,True
26.907637,35062.42,304.42975,Other,San Antonio,Clothing,Credit Card,False
43.81375,107598.35,1092.1985,Other,Houston,Beauty,Credit Card,True
57.977158,154445.25,886.84515,Male,Philadelphia,Electronics,PayPal,False
29.855959,94750.484,73.12837,Other,Phoenix,Beauty,Credit Card,True
53.031235,85716.25,658.3716,Female,Los Angeles,Clothing,Debit Card,False
29.56567,95590.195,941.42926,Other,New York,Beauty,PayPal,False
19.322493,63662.844,378.66962,Female,New York,Electronics,PayPal,True
30.193003,129966.72,721.08746,Male,Philadelphia,Clothing,Debit Card,True
52.957626,50821.24,65.68152,Other,Los Angeles,Clothing,Debit Card,False
45.040413,122187.79,786.8137,Other,Dallas,Electronics,Credit Card,True
37.54666,38214.984,152.78505,Other,Dallas,Clothing,Debit Card,True
18.18946,118158.52,839.464,Male,Philadelphia,Electronics,PayPal,True
56.23978,71219.62,142.58339,Other,Houston,Beauty,Debit Card,False
38.46328,128352.49,617.7639,Female,Houston,Electronics,UPI,True
37.74743,75988.63,337.2257,Male,Los Angeles,Electronics,Credit Card,False
63.296535,80283.8,572.28955,Male,Houston,Clothing,Debit Card,False
25.796322,72760.36,152.01297,Female,Houston,Electronics,UPI,True
19.422564,127941.61,1249.3749,Male,Los Angeles,Clothing,Debit Card,True
49.74757,98173.375,302.20923,Female,New York,Clothing,UPI,False
47.15696,65906.586,622.8295,Female,Phoenix,Sports,UPI,True
29.598421,52339.35,147.3986,Male,San Jose,Beauty,Credit Card,False
22.155312,29128.13,199.51584,Other,Dallas,Clothing,Credit Card,True
26.387339,35831.168,268.13354,Other,Philadelphia,Sports,Debit Card,False
55.394222,98686.305,72.51561,Female,Houston,Beauty,PayPal,False
31.458256,113642.17,881.6177,Female,Phoenix,Sports,Debit Card,False
46.717674,78372.06,655.329,Male,New York,Home,Credit Card,False
49.321396,58548.547,253.86911,Male,New York,Beauty,Debit Card,False
26.538689,40982.2,144.44208,Other,New York,Beauty,UPI,False
63.454308,48364.387,355.2038,Male,Phoenix,Sports,Credit Card,True
28.219316,66905.73,391.11588,Other,Philadelphia,Clothing,PayPal,True
32.481495,150857.4,1234.3893,Male,Los Angeles,Beauty,Credit Card,True
14.323432,85933.07,526.0564,Female,Houston,Electronics,UPI,True
58.812786,33330.035,53.762177,Other,Chicago,Beauty,Credit Card,True
53.098934,102998.07,109.71964,Male,New York,Home,UPI,True
40.448463,53351.34,172.25049,Other,San Antonio,Home,UPI,True
31.791487,147816.9,275.40164,Other,San Antonio,Sports,Debit Card,False
44.376823,136633.55,815.31775,Female,San Diego,Home,Credit Card,True
48.23627,145854.89,130.95816,Female,Houston,Clothing,Credit Card,False
41.599434,135644.27,1062.0184,Male,Houston,Electronics,Debit Card,False
32.72187,54255.215,510.86063,Female,Philadelphia,Beauty,UPI,False
25.175877,48673.07,441.46747,Female,Chicago,Beauty,UPI,True
21.772156,95501.336,431.55893,Other,Philadelphia,Home,PayPal,False
55.826176,57928.56,228.76585,Other,San Antonio,Electronics,Debit Card,True
40.296185,55978.78,350.80704,Other,San Jose,Home,Credit Card,False
47.59731,84275.19,544.2387,Other,San Antonio,Home,Debit Card,True
43.604,119941.54,1075.2369,Other,Chicago,Beauty,PayPal,True
51.4086,134549.77,0.0,Female,Houston,Home,UPI,True
43.25135,81383.055,645.9283,Other,San Diego,Clothing,Credit Card,False
50.06632,115257.29,718.89435,Female,Los Angeles,Clothing,Credit Card,True
30.950329,57583.13,19.990957,Male,San Diego,Beauty,Credit Card,False
47.879402,149539.72,982.70026,Male,San Antonio,Sports,UPI,True
24.40373,114689.05,691.7738,Male,San Antonio,Home,Debit Card,True
26.008312,103352.17,361.5828,Male,San Diego,Beauty,UPI,False
44.482826,113070.82,813.29553,Male,San Diego,Clothing,Credit Card,True
66.023544,136967.58,811.0514,Male,Houston,Beauty,Debit Card,True
28.991846,78542.92,148.92764,Female,San Jose,Home,PayPal,False
49.726906,45710.152,114.70151,Male,San Antonio,Clothing,Debit Card,True
38.622246,99709.484,369.47595,Female,Phoenix,Electronics,Debit Card,False
44.227654,137464.66,990.43634,Other,New York,Beauty,UPI,False
17.713682,61527.777,341.64764,Other,San Antonio,Beauty,Debit Card,True
32.004803,58639.973,295.7896,Male,Dallas,Home,UPI,True
41.945778,26036.314,430.69144,Other,New York,Home,Debit Card,True
55.38822,107953.92,225.83109,Female,Chicago,Electronics,PayPal,True
42.090435,56459.945,281.21094,Male,San Antonio,Home,UPI,False
19.245209,102339.88,104.88605,Other,New York,Home,Debit Card,True
60.115295,38364.504,313.94333,Other,Houston,Electronics,Debit Card,True
29.273996,89284.0,581.4504,Other,San Diego,Sports,PayPal,True
36.66597,112532.7,640.72363,Other,Los Angeles,Beauty,PayPal,True
53.11297,34864.652,322.95114,Other,San Antonio,Electronics,Debit Card,True
55.034428,126729.65,983.16547,Male,Los Angeles,Home,Credit Card,True
36.58197,99059.99,478.32712,Other,Los Angeles,Beauty,PayPal,True
43.098637,124270.41,592.4112,Female,Philadelphia,Sports,Debit Card,False
30.092455,123860.055,678.3915,Male,Phoenix,Beauty,UPI,True
50.496403,134286.4,1026.2395,Female,Philadelphia,Clothing,Credit Card,False
43.73833,60083.457,428.72183,Other,Chicago,Clothing,PayPal,False
48.672173,134300.75,462.1841,Female,Houston,Home,PayPal,False
36.537914,154227.12,911.8407,Female,Dallas,Electronics,Credit Card,True
36.708553,109833.51,453.28806,Other,Houston,Sports,UPI,False
19.034777,39686.902,157.31941,Female,Houston,Home,PayPal,False
52.302208,99581.195,229.39108,Other,Chicago,Electronics,PayPal,True
34.543068,67984.28,93.15403,Male,San Jose,Sports,PayPal,True
22.16497,55489.77,435.30954,Male,Dallas,Beauty,PayPal,True
29.430826,69452.73,122.478676,Male,Phoenix,Beauty,Debit Card,False
16.719584,37288.617,138.1964,Other,Chicago,Sports,UPI,False
47.11879,74103.42,284.53967,Female,Philadelphia,Clothing,Credit Card,False
48.074314,43213.094,287.79114,Female,San Diego,Electronics,Credit Card,True
26.6141,141327.28,730.29535,Female,Los Angeles,Clothing,UPI,False
55.699066,97113.516,844.5812,Other,Dallas,Sports,UPI,False
37.803886,143443.02,878.6934,Female,San Antonio,Home,UPI,True
34.50112,114698.84,245.15465,Other,Los Angeles,Clothing,Debit Card,True
53.55478,39097.984,151.22731,Other,Phoenix,Beauty,UPI,False
21.698637,49022.543,181.57515,Male,San Diego,Electronics,Credit Card,False
59.073147,107909.59,522.9576,Male,Los Angeles,Electronics,Debit Card,True
31.65443,127824.08,207.7348,Other,Chicago,Home,PayPal,False
30.552824,91049.02,598.117,Other,San Antonio,Beauty,UPI,True
21.114214,112826.81,85.39563,Female,San Jose,Beauty,UPI,True
26.475796,62207.387,404.62045,Female,Chicago,Electronics,PayPal,True
27.636818,100279.484,455.95096,Female,San Antonio,Home,UPI,False
27.666313,101950.945,297.66458,Female,Philadelphia,Electronics,Debit Card,False
42.27691,128932.945,681.6055,Other,Houston,Beauty,UPI,False
27.411465,67259.875,58.470345,Male,San Antonio,Beauty,Credit Card,False
47.804817,50333.65,0.085057735,Female,San Jose,Sports,UPI,True
33.739365,73006.49,338.656,Male,San Jose,Sports,UPI,True
56.751717,114660.71,804.30646,Other,Chicago,Sports,UPI,False
25.021143,63634.918,524.24725,Male,San Diego,Electronics,Debit Card,False
60.27556,67981.95,304.71646,Other,Dallas,Sports,UPI,True
45.87475,90598.68,92.45107,Male,New York,Beauty,Debit Card,True
37.885025,128247.93,998.0654,Female,Chicago,Beauty,PayPal,True
35.367954,136997.2,330.2847,Other,San Jose,Sports,PayPal,True
